2021-02-05 20:02:115 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (88992ddd8adfe8acfbbb052ade718c9e)] -> id: keywords]
2021-02-05 20:02:368 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (88992ddd8adfe8acfbbb052ade718c9e)] -> id: location]
2021-02-05 20:02:553 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (88992ddd8adfe8acfbbb052ade718c9e)] -> id: distance]
2021-02-05 20:02:836 INFO  HomePage :62 - Click on more search  [[ChromeDriver: chrome on WINDOWS (88992ddd8adfe8acfbbb052ade718c9e)] -> id: toggle-hp-search]
2021-02-05 20:02:92 INFO  HomePage :69 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (88992ddd8adfe8acfbbb052ade718c9e)] -> id: salarymin]
2021-02-05 20:02:218 INFO  HomePage :77 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (88992ddd8adfe8acfbbb052ade718c9e)] -> id: salarymax]
2021-02-05 20:02:335 INFO  HomePage :83 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (88992ddd8adfe8acfbbb052ade718c9e)] -> id: salarytype]
2021-02-05 20:02:526 INFO  HomePage :90 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (88992ddd8adfe8acfbbb052ade718c9e)] -> id: tempperm]
2021-02-05 20:02:197 INFO  HomePage :97 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (88992ddd8adfe8acfbbb052ade718c9e)] -> id: hp-search-btn]
2021-02-05 20:02:800 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:587 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (ae1e5971f935b342f71c46a0d9cc57bb)] -> id: keywords]
2021-02-05 20:02:10 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (ae1e5971f935b342f71c46a0d9cc57bb)] -> id: location]
2021-02-05 20:02:222 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (ae1e5971f935b342f71c46a0d9cc57bb)] -> id: distance]
2021-02-05 20:02:395 INFO  HomePage :62 - Click on more search  [[ChromeDriver: chrome on WINDOWS (ae1e5971f935b342f71c46a0d9cc57bb)] -> id: toggle-hp-search]
2021-02-05 20:02:853 INFO  HomePage :69 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (ae1e5971f935b342f71c46a0d9cc57bb)] -> id: salarymin]
2021-02-05 20:02:23 INFO  HomePage :77 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (ae1e5971f935b342f71c46a0d9cc57bb)] -> id: salarymax]
2021-02-05 20:02:160 INFO  HomePage :83 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (ae1e5971f935b342f71c46a0d9cc57bb)] -> id: salarytype]
2021-02-05 20:02:339 INFO  HomePage :90 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (ae1e5971f935b342f71c46a0d9cc57bb)] -> id: tempperm]
2021-02-05 20:02:482 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:12 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (3aaa3f31b748574464e1a0f77a292bce)] -> id: keywords]
